Date,Close,High,Low,Open,Volume
,JEPI,JEPI,JEPI,JEPI,JEPI
2020-05-21,32.84578323364258,32.97404832887994,32.796449925659836,32.90826974850419,6200
2020-05-22,32.95037078857422,32.954315245329,32.81618398301934,32.84249541656301,9500
2020-05-26,33.04507827758789,33.28319091042081,33.04507827758789,33.2174148549803,5600
2020-05-27,33.30095672607422,33.36213092716926,33.15164450251551,33.36213092716926,352100
2020-05-28,33.63838577270508,37.0127494215748,33.493675447699175,33.58576543310009,53300
2020-05-29,33.67390823364258,34.874997488924826,33.48710112241574,33.566032891786215,55300
2020-06-01,33.65681838989258,33.74364412206765,33.65681838989258,33.74364412206765,10500
2020-06-02,33.69563293457031,33.72391660339935,33.62524995811055,33.63840567809552,11000
2020-06-03,33.83506774902344,33.92781516756054,33.750874180276476,33.80941623643775,10000
2020-06-04,33.63972473144531,33.7620706844275,33.605521862537,33.75023229138888,4800
2020-06-05,33.82190704345703,34.25669547562422,33.82190704345703,34.25669547562422,7100
2020-06-08,33.76140213012695,33.762716949097815,33.62195604332026,33.760744720641526,21700
2020-06-09,33.583152770996094,33.73707193292217,33.583152770996094,33.73707193292217,11800
2020-06-10,33.61537170410156,33.74297938193911,33.61537170410156,33.62523786324222,4200
2020-06-11,32.97601318359375,33.83571883784133,32.967461844597196,33.83571883784133,4400
2020-06-12,32.842506408691406,32.92143822654387,32.55966467642306,32.891839735798165,3700
2020-06-15,33.085872650146484,33.085872650146484,32.618198547851705,32.618198547851705,4400
2020-06-16,33.31477737426758,33.40818222045442,33.31477737426758,33.40818222045442,400
2020-06-17,33.3035888671875,33.45421841867718,33.3035888671875,33.36147351217618,10200
2020-06-18,33.34372329711914,33.421340283278845,33.29570479700152,33.38187312602587,6200
2020-06-19,33.31938934326172,33.513433093866624,33.27663513139154,33.42134555494792,5000
2020-06-22,33.41541290283203,33.4607992477448,33.29635655091799,33.42133460639208,10400
2020-06-23,33.42001724243164,33.533154399860734,33.42001724243164,33.533154399860734,800
2020-06-24,33.07206344604492,33.08587657506107,33.058907726620454,33.08587657506107,1700
2020-06-25,33.11744689941406,33.158228873299144,32.920773553257256,32.920773553257256,4100
2020-06-26,32.694496154785156,33.105602871292184,32.60569569886973,33.105602871292184,7100
2020-06-29,33.002986907958984,33.02666619142864,32.75040370228915,32.75040370228915,9900
2020-06-30,33.504215240478516,33.504215240478516,33.1319157094527,33.1319157094527,18400
2020-07-01,33.702144622802734,33.755280307225846,33.57527877381769,33.64236539422067,11100
