Date,Close
2022-05-24,33.925819396972656
2022-06-16,32.428123474121094
2022-07-01,33.657066345214844
2022-08-31,34.57365417480469
2022-09-30,31.513826370239254
2022-10-14,31.04039001464844
2022-11-03,31.282442092895508
2022-12-28,31.811357498168945
2023-01-05,32.07111740112305
2023-02-24,34.04290771484375
2023-03-10,33.77449417114258
2023-04-25,36.25399398803711
2023-05-04,37.1811637878418
2023-06-07,39.304805755615234
2023-07-10,40.321876525878906
2023-08-18,39.858280181884766
2023-09-26,39.834228515625
2023-10-26,39.00645446777344
2023-11-01,40.57609176635742
2023-12-06,42.77525329589844
2024-01-04,43.15379333496094
2024-02-01,45.63165283203125
2024-03-05,47.13759613037109
2024-04-19,45.73927688598633
2024-05-01,46.55670166015625
2024-06-03,49.196903228759766
2024-07-30,48.282470703125
2024-08-07,46.17918014526367
2024-09-06,48.21820831298828
2024-10-03,51.15350341796875
2024-11-04,52.01308441162109
2024-12-19,54.84577560424805
2025-01-14,54.27400207519531
2025-02-27,54.08428192138672
2025-03-13,50.91244888305664
2025-04-08,45.880001068115234
